iter	Passed	Remaining
0	0	93
1	1	81
2	2	76
3	3	77
4	4	76
5	4	73
6	5	72
7	6	70
8	6	69
9	7	68
10	8	67
11	9	67
12	9	66
13	10	65
14	11	65
15	12	64
16	13	63
17	13	62
18	14	62
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	20	56
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	25	50
34	26	49
35	27	48
36	28	48
37	29	47
38	30	47
39	31	46
40	31	45
41	32	44
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	43	35
55	43	34
56	44	33
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	50	28
64	51	27
65	52	26
66	53	26
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	74	4
94	75	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
